SMILES,pKa
C=C1[C@H](OC(C)=O)[C@]23C[C@H]4C5[C@@]67C(C2C[C@@H]1C[C@]36O)[NH+]4C[C@]5(C)C[C@@H](OC(C)=O)[C@@H]7OC(C)=O,8.35
C=C=CC(=O)[O-],3.96
C=CC#CCC(=O)[O-],3.41
C=CC(=O)NC(C)(C)CC[NH+](C)C,9.39
C=CC(=O)NC(C)(C)CC[NH+](CC)CC,10.09
C=CC(=O)NCCC[NH+](C)C,9.23
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CC[NH+](C)C,9.0
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC([NH+](C)C)C1,7.2
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H]([NH+](C)C)C1,8.1
C=CC(=O)OCC[NH+](C)C,8.25
C=CC(=O)OCC[NH+](CC)CC,8.55
C=CC(=O)[O-],4.25
C=CC(C)(C)Nc1ccccc1,4.88
C=CC(C)(C)OCC(O)C[NH2+]C(C)(C)C,9.67
C=CC(C)(C)[NH+](C)C(C)(C)C,11.3
C=CC(C)(C)[NH2+]C(C)(C)C=C,10.1
C=CC(C)(C)[NH2+]C(C)(C)CC,10.8
C=CC(C)(CC)[NH+](C)C(C)C,11.3
C=CC(C)Nc1ccccc1,4.57
C=CC(Cl)C(=O)[O-],2.54
C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.5
C=CC1C[NH+]2CCC1C[C@H]2C(=O)[O-],10.6
C=CCC(=O)[O-],4.33
C=CCC(C)(C[NH+](CC)CC)OC(=O)CC(C)C,8.1
C=CCC(C)(C[NH+](CC)CC)OC(=O)CCC,8.5
C=CCC(C)(C[NH+](CC)CC)OC(=O)c1ccccc1,7.8
C=CCC(C)(C[NH+](CC)CC)OC(C)=O,9.85
C=CCC(C)(O)C[NH+](CC)CC,9.71
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74
C=CCC1(CC=C)SC(=O)[N-]C1=O,6.1
C=CCCC(=O)[O-],4.68
C=CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.2
C=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.7
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,10.42
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1C[NH3+],9.5
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4
C=CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86
C=CCNc1ccccc1,4.17
C=CCOc1ccc(C(=O)[O-])cc1,4.45
C=CCOc1ccccc1OCC(O)C[NH2+]C(C)C,9.523333
C=CCOc1nc(N)nc(N)n1,3.43
C=CCOc1noc2c1C[NH2+]CC2,7.5
C=CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N,5.65
C=CC[NH+](C)C,8.72
C=CC[NH+](C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1,8.18
C=CC[NH+](C)CCCNC(=O)CN=O,8.99
C=CC[NH+](C)CCOC(=O)C(=C)C,7.39
C=CC[NH+](CC(C)O)CC(C)O,8.2
C=CC[NH+](CC1CO1)CC1CO1,6.16
C=CC[NH+](CC=C)CC=C,8.31
C=CC[NH+](CC=C)CCCNC(=O)CN=O,8.74
C=CC[NH+](CC=C)CCOC(=O)C(=C)C,7.02
C=CC[NH+]1CCCCC1,9.66
C=CC[NH+]1CCOCC1,7.05
C=CC[NH2+]CC=C,9.35
C=CC[NH3+],9.74
C=CCc1c(C)[nH]n(C)c1=O,10.5
C=CCc1ccc(O)c(OC)c1,10.0
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,9.527143
C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,4.0
C=C[C@@H]1CNC(=S)O1,10.25
C=C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.98
C=C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.51
C=C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.83
C=C[C@]1(O)C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1cc(=O)[nH]c2ccccc12,7.65
C=Cc1ccc(C)nc1,5.67
C=Cc1ccc(O)cc1,9.91
C=Cc1ccccn1,4.95
C=Cc1cccnc1,4.87
C=Cc1ccncc1,5.62
C=Cc1noc(C2=CCC[NH2+]C2)n1,8.23
C=c1[nH]cc(C)c(=C[NH2+]CCCCCC)c1=O,4.805
C=c1cc(C)c(=Cc2[nH]c(C)cc2C)[nH]1,8.4
CC#C/C=C/C(=O)[O-],4.2
CC#CC#CCC(=O)[O-],3.23
CC#CC(=O)[O-],2.63
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,5.58
CC#CCC(=O)[O-],3.6
CC#CCOc1noc2c1C[NH2+]CC2,7.6
CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8.6
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1,3.4
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1,3.4
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3
CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@H]1C[C@@H]2CC[C@H](C1)[NH+]2C,9.95
CC(=C1c2ccccc2CC1CC[NH+](C)C)c1cnccn1,9.1
CC(=O)/C=C(/C)O,7.64
CC(=O)/C=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,9.24
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.3
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,7.3
CC(=O)/[NH+]=c1/c(-c2c(Cl)cccc2Cl)cc2cnc(C)nc2n1C,2.5
CC(=O)/[NH+]=c1\ccccn1C,7.12
CC(=O)C(=C(C)O)c1ccccc1,9.32
CC(=O)C(=CO)C(C)=O,4.6
CC(=O)C(=O)[O-],2.39
CC(=O)C(C)=C(C)O,10.79
CC(=O)C(C)=C(O)C(C)C,11.8
CC(=O)C(C)C(C)(C)C(=O)[O-],5.79
CC(=O)C(CC[NH+]1CCOCC1)(c1ccccc1)c1ccccc1,6.83
CC(=O)C(C[NH+]1CCCCC1)N=O,8.875
CC(=O)C(C[NH+]1CCOCC1)N=O,7.625
CC(=O)C(C[NH+]1CCOCC1)c1ccccc1,6.23
CC(=O)C(Cc1ccc(C#N)cc1)=C(C)O,9.69
CC(=O)C(Cc1ccc(Cl)cc1)=C(C)O,10.25
CC(=O)C(Cc1ccccc1)=C(C)O,10.49
CC(=O)C(Cl)N=O,7.9
CC(=O)C(N=O)=C(C)O,7.44
CC(=O)C1=C(O)CCC1,7.82
CC(=O)C1=C(O)CCCC1,10.21
CC(=O)C1=C([O-])c2ccccc2C1=O,2.88
CC(=O)C=C(C)O,8.85
CC(=O)C=C(O)C(C)C,9.46
CC(=O)C=C(O)CC(C)C,9.07
CC(=O)C=C(O)c1ccccc1,8.69
CC(=O)C=CO,6.12
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,4.9875
CC(=O)CC(c1ccccc1)c1c([S-])c2ccccc2oc1=O,6.6
CC(=O)CCC(=O)[O-],4.63
CC(=O)CCCC(=O)[O-],4.66
CC(=O)CCCC[NH+](C)C,9.66
CC(=O)CC[NH+](C)C,8.95
CC(=O)CC[NH+]1CCOCC1,6.66
CC(=O)C[C@@H](c1ccccc1)c1c([O-])c2ccccc2oc1=O,6.655
CC(=O)N(C)CC(=O)[O-],3.16
CC(=O)N(C)C[C@H]1C[C@H](c2ccc(C[NH+]3CCCC3)c(Cl)c2)C1,9.3
CC(=O)N(C)O,8.73
CC(=O)N(C)c1ccccn1,2.01
CC(=O)N(C)c1cccnc1,3.52
CC(=O)N(C)c1ccncc1,4.62
CC(=O)N(C)c1nc2nc(C)ncc2cc1-c1c(Cl)cccc1Cl,4.2
CC(=O)N(C)c1nnc(S(N)(=O)=O)s1,7.4
CC(=O)N(O)CCc1ccccc1,8.83
CC(=O)N(O)c1ccccc1,8.36
CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1,7.32
CC(=O)N1CCC[C@H]1C(=O)[O-],3.21
CC(=O)N1CCNc2ncnc(C)c21,5.26
CC(=O)N1CC[NH+](C)CC1,7.1
CC(=O)N1CC[NH+](CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1,6.7
CC(=O)N1CC[NH2+]CC1,7.94
CC(=O)N1CS(=O)(=O)C[C@H]1C(=O)[O-],2.23
CC(=O)N1CS(=O)C[C@H]1C(=O)[O-],2.5
CC(=O)N1CSC[C@H]1C(=O)[O-],2.94
CC(=O)N1C[C@@]2(C(C)C)OC(=O)C[C@H]2[C@@H]1C(=O)[O-],3.2
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CC(F)C1)c1ccccc1,7.1
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CC2CCC1C2)c1ccccc1,10.1
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CCCC1)c1ccccc1,9.4
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1CCOCC1)c1ccccc1,7.1
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCC[NH+]1C[C@H]2C[C@@H]1CO2)c1ccccc1,8.0
CC(=O)NBr,8.1
CC(=O)NCC(=O)[O-],3.6
CC(=O)NCCS,9.5
CC(=O)NCC[NH3+],9.28
CC(=O)NCc1cc(C)cc(CNC(C)=O)c1O,9.0
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C#N)cccc32)c1,5.4
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)(C)O)cccc32)c1,5.46
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)O)cccc32)c1,5.62
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(CO)cccc32)c1,5.66
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(Cl)cccc32)c1,6.03
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(F)cccc32)c1,5.62
CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)c1,5.93
CC(=O)NCc1ccccn1,4.23
CC(=O)NO,9.07
CC(=O)NOCCc1ccccc1,9.58
CC(=O)NS(=O)(=O)c1ccc(C)cc1,4.8
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cc(C(C)(C)C)ncn2)CCCCC1,6.7
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cc(CC(C)(C)C)no2)CCCCC1,6.4
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(-n3cccn3)c2)CC1,6.7
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(-n3cccn3)c2)CCCCC1,7.85
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C(F)F)c2)CC1,6.7
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CC1,6.6
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC1,7.8
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCCC1,8.133333
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCOCC1,7.2
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C3CCOC3)c2)CCCCC1,8.1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cnn(CC(C)(C)C)c2)CC1,7.05
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+][C@H]1CCCc2ccc(CC(C)(C)C)cc21,8.9
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CC[C@@H](OCC2CCCCC2)C[NH2+]1,8.6
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC(C)(C)C)[C@H](C)[NH2+]1,6.9
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)C[NH2+]1,6.7
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)[C@H](C)[NH2+]1,6.7
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCC2CCCCC2)C[NH2+]1,8.2
CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CCP(=O)([O-])[O-],3.5
CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-],3.6
CC(=O)N[C@H]1CC(=O)NC1=O,8.85
CC(=O)N[C@H]1CONC1=O,5.8
CC(=O)Nc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7.51
CC(=O)Nc1ccc(N)cc1,4.46
CC(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.51
CC(=O)Nc1ccc(O)cc1,9.543333
CC(=O)Nc1ccc(OC(=O)Nc2cc(C(=O)c3ccccc3)ccc2O)cc1,9.49
CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1,9.49
CC(=O)Nc1ccc(OC(=O)Nc2ccc(C(=O)c3ccccc3)cc2O)cc1,9.49
CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,5.87
CC(=O)Nc1ccc(S(=O)(=O)[N-]c2nccc(C)n2)cc1,5.46
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,10.02
CC(=O)Nc1ccc([S-])cc1,6.08
CC(=O)Nc1ccc2cc3ccccc3nc2c1,5.6
CC(=O)Nc1ccc2nc(N(C)CCO)ccc2c1,8.91
CC(=O)Nc1ccc2nc(OCC[NH+](C)C)ccc2c1,9.94
CC(=O)Nc1ccc2nc(SCC[NH+](C)C)ccc2c1,11.55
CC(=O)Nc1ccc2nc3ccccc3cc2c1,4.7
CC(=O)Nc1ccc2ncccc2c1,5.51
CC(=O)Nc1cccc(Nc2c3ccccc3nc3ccccc23)c1,7.16
CC(=O)Nc1cccc(O)c1,9.38
CC(=O)Nc1cccc(OC(=O)Nc2cc(Cl)ccc2O)c1,9.38
CC(=O)Nc1cccc2cc3ccccc3nc12,3.0
CC(=O)Nc1cccc2nc3ccccc3cc12,4.4
CC(=O)Nc1ccccc1Nc1c2ccccc2nc2ccccc12,7.24
CC(=O)Nc1ccccn1,4.09
CC(=O)Nc1cccnc1,4.44
CC(=O)Nc1ccnc(N2CCc3ccccc3C2)c1,6.5
CC(=O)Nc1ccncc1,5.87
CC(=O)Nc1nnc(-c2ccccc2)s1,8.9
CC(=O)OC(C)C[NH+](C)C,8.31
CC(=O)OC1C[NH+]2CCC1CC2,9.27
CC(=O)OCC1CC2CC[NH+]1CC2,9.88
CC(=O)OCC1C[NH+]2CCC1CC2,10.29
CC(=O)OCCCCCc1ccc(S(N)(=O)=O)cc1,10.3
CC(=O)OCCCCc1ccc(S(N)(=O)=O)cc1,10.48
CC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.05
CC(=O)OCCCc1ccc(S(N)(=O)=O)cc1,10.22
CC(=O)OCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.65
CC(=O)OCC[NH+](C)C,8.3
CC(=O)OCCc1cnc[nH]1,6.97
CC(=O)OO,8.19
CC(=O)O[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5C[NH+](C6COC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,4.6
