SMILES,LogP
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07
CCC1(CC)C(=O)NC(=O)NC1=O,0.65
O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,-3.7
CCCC(C)(COC(N)=O)COC(N)=O,0.7
CC(O)CO,-0.92
C[C@]1(O)[C@H]2C[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c1c(Cl)ccc2O)N(C)C,-0.62
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,3.21
Nc1ccc(cc1)S(=O)(=O)NC(N)=N,-1.22
Cc1cc(C)[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,0.19
ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,6.16
O=S(CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O)c1ccccc1,2.3
Cc1c2ccc3ccccc3c2c(C)c2ccccc12,5.8
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,2.3
CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,-0.07
CN(C)C1C(=O)N(c2ccccc2)N(C)C=1C,1.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(C)O,3.36
C[C@@H]1C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CC[C@H]2CC1=O,3.99
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,3.32
CC1=CC(=O)c2ccccc2C1=O,2.2
c1ccc2Sc3ccccc3N(CC(N(C)C)CN(C)C)c2c1,4.76
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,4.88
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,4.2
CN1C(=O)c2[nH]c[n]c2N(C)C1=O,-0.03
Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.05
Oc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-2.1
COc1ccc(Cc2[n]ccc3cc(OC)c(cc32)OC)cc1OC,2.95
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",3.86
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07
O=C(N(C=CC1(=O))C(OC(C2O)CO)C2O)N1,-1.98
CN(Cc1c[n]c2[n]c(N)[n]c(N)c2[n]1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,-1.85
CCOc1cc(N)ccc1C(O)=O,0.99
O[C@H]1C[C@@H](O[C@@H]1CO)N1C=C(Br)C(=O)NC1=O,-0.29
O=C1C=Cc2ccccc2N1,1.26
Nc1ccc(cc1)S(=O)(=O)Nc1c[n]c2ccccc2[n]1,1.68
CNC[C@H](O)c1cc(O)ccc1,-0.31
CCN(CCOC(=O)c1ccc(N)cc1)CC,2.14
c1ccc2CC(=O)Nc2c1,1.16
O=C(Oc(c1ccc2)c2)N1,1.16
Cc1cc(O)ccc1Cl,3.1
c1c(Cl)c(Cl)ccc1C(O)CNC(C)C,3.32
CC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O,-0.26
OC(=O)c1ccc[n]c1,0.36
NC(=O)N/N=C/c1ccc(o1)[N+]([O-])=O,0.23
O=NN1CCOCC1,-0.44
C(C1NCCN=1)c1ccccc1,2.65
Nc1ccc(cc1)/N=N/c1ccccc1,3.41
CN(C)c1ccc(cc1)N=Nc1ccccc1,4.58
OCCc1ccccc1,1.36
N[C@@H](Cc1ccc(O)cc1)C(O)=O,-2.26
CN1CC(=O)NC1=N,-1.76
CCOCC,0.89
NCCCCCC(O)=O,-2.95
CNN,-1.05
CC(N)=O,-1.26
CNC(=O)CSP(=S)(OC)OC,0.78
C[C@]1(O)[C@H]2C[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c1cccc2O)N(C)C,-1.3
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",5.3
CN1C(C)=CC(=O)N1c1ccccc1,0.38
CN(C)C(C)CN1c2ccccc2Sc2ccccc12,4.81
CN(C)C[C@@H](C)CN1c2cc(ccc2Sc2ccccc12)OC,4.68
CN(C)CCCN1c2cc(ccc2Sc2ccccc12)OC,4.9
CC1(C)S[C@@H]2[C@H](NC(=O)c3c(cccc3OC)OC)C(=O)N2[C@H]1C(O)=O,1.22
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O,1.83
[O-][N+](=O)c1c[n]c([s]1)N1CCNC1=O,0.95
Cc1cccc(Nc2ccccc2C(O)=O)c1C,5.12
Cc2onc(c1ccccc1Cl)c2C(=O)NC4C3SC(C)(C)C(N3C4=O)C(O)=O,2.48
Cl.CNC[C@H](O)c1cc(O)ccc1,-0.31
Nc1[n]c2cc(Cl)ccc2o1,2.46
Nc1[n]c[nH][n]1,-0.97
CC(C)C[C@H](N)C(O)=O,-1.52
[O-][N+](=O)c1ccc(cc1)C(O)=O,1.89
CC(=O)Nc1ccc(cc1)OCC,1.58
Nc1ccccc1,0.9
CC(N)=S,-0.26
C=CCN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5O,1.86
COP(=O)(OC=C(Cl)Cl)OC,1.43
CN(C)N=O,-0.57
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,2.75
CSCC[C@H](N)C(O)=O,-1.87
Nc1ccc(cc1)S(N)(=O)=O,-0.62
CN1CC(=CCC1)C(=O)OC,0.35
NC(=O)NC(=O)Cc1ccccc1,0.87
Cc1cc(ccc1)NC(N)=O,1.29
CNC(=O)Oc1cc(ccc1)C(C)C,2.63
NCCc1ccccc1,1.41
COc1ccc(CC(C)N)cc1,1.77
CCO,-0.31
OC=O,-0.54
CC(O)=O,-0.17
CCOS(=O)(=O)OCC,1.14
Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,2.34
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,2.88
CC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2C2=CC=C(OC)C(=O)C=C21,1.3
NC(=O)c1ccccc1O,1.28
O=C1N=C(N)C=CN1C2OC(CO)C(O)C2O,-2.51
Nc1cc(O)c(cc1)C(O)=O,0.89
CC1=CNC(=O)NC1=O,-0.62
Oc1[n]c(cc(O)[n]1)C(O)=O,-0.83
O=C1C=CNC(=O)N1,-1.07
CCCCCC=O,1.78
c1cc2ccc[n]c2c2[n]cccc21,1.78
OC1=C(CC2C(=O)Oc3ccccc3C=2O)C(=O)Oc2ccccc12,2.07
Cc2onc(c1ccccc1)c2C(=O)NC4C3SC(C)(C)C(N3C4(=O))C(=O)(O),2.38
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,0.55
[O-][N+](=O)c1ccc(C=NN2CC(=O)NC2=O)o1,-0.47
[O-][N+](=O)c1ccc(/C=N/N2CCOC2=O)o1,-0.04
Cc1cc(C)[nH][n]1,1.01
O=C1NC(=O)CC(=O)N1,-1.47
CC(C)O,0.05
CC(C)=O,-0.24
ClC(Cl)Cl,1.97
CS(C)=O,-1.35
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.14
CC1(C)O[C@@]2([C@@H](C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C)O1)C(=O)CO,2.48
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](OC(C)=O)[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@]21F,1.92
CN(C)C=O,-1.01
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,2.97
CC1CCCC(C)(C)C=1/C=C/C(/C)=C/C=C/C(/C)=C/CO,5.68
Nc1ccc(cc1)S(=O)(=O)Nc1[n]ccc[n]1,-0.09
O=C1C(=CC(=O)C(=C1N1CC1)N1CC1)N1CC1,-0.13
O=C1NC=Nc2[n]c[nH]c21,-1.11
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.17
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,4.36
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,1.35
Oc1ccccc1C(O)=O,2.26
O=C1Nc2[n]c[nH]c2C(=O)N1,-0.73
O=C1NC(=O)NC2=C1NC(=O)N2,-2.17
O[C@H]1C[C@@H](O[C@@H]1CO)N1C=C(C(=O)NC1=O)C(F)(F)F,-0.46
O=C(CBr)c1ccccc1,2.19
O=C(O)C(N)CCCN,-4.22
O=C(O)C(N)CC(=O)N,-3.82
Cc1ccc(cc1)S(N)(=O)=O,0.82
O=C(c(ccc(O)c1)c1)CC,2.03
N[C@@H](Cc1c[n]c[nH]1)C(O)=O,-3.32
NC1C=CNC(=O)N=1,-1.73
O=C1NC=NC(=O)N1,-1.87
CCCCO,0.88
CCCCCO,1.51
CC(Cl)(Cl)Cl,2.49
C[C@]12CC[C@@H](C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H](CC[C@@]21O)C1COC(=O)C=1)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,1.85
[Br-].CC[N+](CC)(CC)CC,-2.82
Nc1ccc(cc1)S(=O)(=O)Nc1[n]cc[s]1,0.05
C[C@@H](O)[C@H](N)C(O)=O,-2.94
COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,5.08
ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.02
CNCCC=C1c2ccccc2CCc2ccccc21,4.51
Nc1[n]c[n]c2[nH]c[n]c21,-0.09
C[C@@H](CC)[C@H](N)C(O)=O,-1.72
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,1.89
OC(=O)c1ccc(Cl)cc1,2.65
NC(=N)NCCC[C@H](N)C(O)=O,-4.2
C,1.09
CC,1.81
C=C,1.13
C#C,0.37
CCl,0.91
CN,-0.57
C#N,-0.25
BrCBr,1.7
CCBr,1.61
CCC,2.36
CC#C,0.94
CCCl,1.43
CCI,2.0
CC#N,-0.34
CC=O,-0.34
ClCCl,1.25
FCF,0.2
NC=O,-1.51
S=C=S,1.94
C1CC1,1.72
C1CO1,-0.3
CC(C)Br,2.14
ClC(Cl)Br,2.0
CC(C)C,2.76
CC(C)Cl,1.9
CC(C)N,0.26
CC(Cl)Cl,1.79
C=C(Cl)Cl,2.13
CC(F)F,0.75
FC(Cl)Cl,1.55
FC(F)Cl,1.08
FC(F)F,0.64
CN(C)C,0.16
CC1CO1,0.03
FC(F)(F)Br,1.86
CC(C)(C)N,0.4
CC(C)(C)O,0.35
FC(F)(Cl)Cl,2.16
FC(F)(F)Cl,1.65
FC(F)(F)F,1.18
OCC(Br)(Br)Br,2.1
CCC(C)(C)C,3.82
CC(C)(C)CO,1.31
CCC(C)(C)O,0.89
OCC(F)(F)F,0.41
CC(=O)C(C)(C)C,1.2
CC(C)(C)C(O)=O,1.48
CC(Cl)(Cl)C(O)=O,0.78
OC(=O)C(Cl)(Cl)Cl,1.33
[O-][N+](=O)C(Cl)(Cl)Cl,2.09
FC(F)(Cl)C(F)(Cl)Cl,3.16
FC(F)(Cl)C(F)(F)Cl,2.82
CC1(C)C2CC(=O)C1(C)CC2,2.38
CC1(C)O[C@@]2([C@@H](C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C)O1)C(=O)CO,2.53
COC(F)(F)C(Cl)Cl,2.21
CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@]3(O)CCC4=O)ccc5O,0.83
ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,6.1
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,1.19
O=C1NC(=O)NC(=O)C1(CC=C)C2C=CCC2,1.51
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1.97
CCC1(C(C)CCC)C(=O)NC(S)=NC1=O,2.85
CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.97
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,5.25
OC(c1ccccc1)(c1ccccc1)c1ccccc1,3.68
OC(=O)C(O)(c1ccccc1)c1ccccc1,2.3
CC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.91
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3.93
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1.15
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc31,3.11
Oc1ccc(cc1)C1(OC(=O)c2ccccc12)c1ccc(O)cc1,2.89
C1CCCCN1C1(CCCCC1)c1ccccc1,4.69
CCC(=O)O[C@@]1(CCN(C)C[C@@H]1C)c1ccccc1,2.83
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,3.23
CCCCC1(CC)C(=O)NC(=O)NC1=O,1.73
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.46
CCC1(CC)C(=O)NC(=S)NC1=O,1.5
ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,5.04
CCC(Br)(CC)C(=O)NC(N)=O,1.54
CCC1(C)CC(=O)NC1=O,0.38
CCOP(=O)(C#N)N(C)C,0.38
OC(=O)C(O)(CC(O)=O)CC(O)=O,-1.64
OCC(CC)(CO)CO,-1.48
CCP(=O)(OCC)OCC,0.66
CCOP(=O)(OCC)OCC,0.8
CCCCSP(=O)(SCCCC)SCCCC,5.7
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.75
C[Si](C)(OCC)OCC,0.61
CC(C)(C#N)/N=N/C(C)(C)C#N,1.1
CC(C)=CCCC(C)(O)C=C,2.97
CC(=C)C=C,2.42
CC(C)C#N,0.46
CC(C)CO,0.76
CCC(C)Cl,2.33
CC(Cl)CCl,1.98
CCC(C)=O,0.29
CC(O)CN,-0.96
CC(O)C#N,-0.94
ClCC(Cl)Cl,1.89
CCC(N)=O,-0.66
C=CC(N)=O,-0.67
NC(=O)CCl,-0.53
OC(=O)CBr,0.41
C=CC(O)=O,0.35
OC(=O)CCl,0.22
OCC(O)=O,-1.11
CNC(C)=O,-1.05
CC[N+]([O-])=O,0.18
CC(C)C(C)C,3.42
CC(C)C(O)=O,0.94
ClC(Cl)C(Cl)Cl,2.39
CC(=C)C(O)=O,0.93
OC(=O)C(Cl)Cl,0.92
CC(C)[N+]([O-])=O,0.93
C[C@]1(O)[C@H]2[C@H](O)[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c1cccc2O)N(C)C,-0.9
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.32
Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,0.97
Cc1ccc(cc1)S(=O)(=O)N(C)N=O,0.58
NNS(=O)(=O)c1ccccc1,-0.14
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)[n][n]1,0.32
O=S(=O)(OCC)c(ccc(c1)C)c1,1.81
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,5.5
CC1=CCC2CC1C2(C)C,4.583333333
CCC(N)C(=O)O,-2.54
CC(=C)C(=O)OC,1.38
CN(C)C(=N)N(C)C,0.41
Nc1c2ccccc2ccc1S(O)(=O)=O,-0.97
Nc1cc(c(cc1)C=Cc1ccc(N)cc1S(O)(=O)=O)S(O)(=O)=O,-1.7
CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,4.3
Nc1ccc2ccccc2c1S(O)(=O)=O,-1.16
Cc1cccc(C)c1[N+]([O-])=O,2.95
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,2.7
[Cl-].CCN(CC)c1cc2[o+]c3cc(ccc3c(-c3ccccc3C(O)=O)c2cc1)N(CC)CC,1.95
OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,3.27
O=C1c2cccc3cccc(c32)-c2ccccc21,4.81
O=C(c(c(c(NC)cc1)C(=O)c2cccc3)c1)c23,4.1
Nc1cccc2c1C(=O)c1ccccc1C2=O,3.74
O=C(C1C(=O)c2ccccc2C1=O)C(c1ccccc1)c1ccccc1,4.27
[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.64
OC(=O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.64
O=C1C(c2ccccc2)C(=O)c2ccccc12,2.9
O=C1CCC(=O)N1c1ccccc1,0.06
C1Cc2cccc3cccc1c23,3.92
Cc1cccc(C(O)=O)c1O,2.86
Cc1cccc(c1C)[N+]([O-])=O,2.83
Cc1c(Cl)cccc1[N+]([O-])=O,3.09
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,3.5
CN1C=CC(=O)c2ccccc12,0.44
Oc1cccc2c1cccc2O,1.94
CN1c2[n]c[n](C)c2C(=O)NC1=O,-0.78
OC1=CC(=O)c2ccccc2C1=O,1.38
Cc1cc2c(cc1C)N=C1C(=NC(=O)NC1=O)N2C[C@H](O)[C@H](O)[C@H](O)CO,-1.46
Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.77
CCN(CCCN1c2ccccc2Sc2ccc(Cl)cc12)CC,6.46
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,4.44
CCc1cc2c(cc1)C(=O)c1ccccc1C2=O,4.37
O=C1c2ccccc2C(=O)c2ccccc12,3.39
CCOC(=O)c1ccccc1C(=O)OCC,2.42
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,4.11
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,6.82
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,9.05
