SMILES,InChI,Sol,RB,MW
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,InChI=1S/C12H6Cl2O2/c13-7-1-3-9-11(5-7)16-10-4-2-8(14)6-12(10)15-9/h1-6H,-3.67,0,251.9744848
CCCCCCCI,"InChI=1S/C7H15I/c1-2-3-4-5-6-7-8/h2-7H2,1H3",0.27,5,226.0218485
CC(=O)c1ccc(C)cc1,"InChI=1S/C9H10O/c1-7-3-5-9(6-4-7)8(2)10/h3-6H,1-2H3",-4.7,1,134.0731649
FC(F)=C(F)C(F)(F)F,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",2.93,0,149.9904193
Cc1ccc(Br)cc1,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",-1.39,0,169.9731123
BrCCBr,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,-2.33,1,185.8679743
COP(=S)(OC)SCn1nnc2ccccc2c1=O,"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",-10.03,5,317.0057699
O=C1C=CC(=O)C=C1,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,-6.5,0,108.0211294
CCCCCc1ccccc1,"InChI=1S/C11H16/c1-2-3-5-8-11-9-6-4-7-10-11/h4,6-7,9-10H,2-3,5,8H2,1H3",-0.23,4,148.1252005
CCCCCI,"InChI=1S/C5H11I/c1-2-3-4-5-6/h2-5H2,1H3",-0.14,3,197.9905484
ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",-1.99,1,131.9300331
CCCCCCCCBr,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",0.52,6,192.0513626
CCCCNCCCC,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",-3.24,6,129.1517496
CCOCCOC(C)=O,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",-5.31,4,132.0786442
CCCC(C)=O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",-3.52,2,86.07316494
Oc1ccccc1F,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H",-5.29,0,112.032443
CC[N+](=O)[O-],"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",-3.71,1,75.0320284
C1CCNCC1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",-5.11,0,85.08914935
CCCC(C)C,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",2.51,2,86.10955045
COC(C)(C)C,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",-2.21,0,88.088815
CCc1cccc(CC)c1N(COC)C(=O)CCl,"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3",-8.21,6,269.1182566
CCCCCCOC(C)=O,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",-2.26,5,144.1150298
Cc1cccc2ccccc12,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",-2.44,0,142.0782503
O=[N+]([O-])c1ccccc1,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,-4.12,1,123.0320284
CCCCOC(=O)c1ccc(O)cc1,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",-8.72,4,194.0942943
CCCCOCCO,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",-6.25,5,118.0993797
CCCCCCl,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",-0.1,3,106.054928
CCc1cccc2ccccc12,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3",-2.4,1,156.0939004
CC(C)C(=O)C(C)C,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",-2.74,2,114.1044651
C/C=C/CCCC,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+",1.68,3,98.10955045
Clc1cccc2c1Oc1ccccc1O2,InChI=1S/C12H7ClO2/c13-8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H,-3.52,0,218.0134571
Cc1ccccc1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",-0.9,0,106.0782503
CCCc1ccc(O)cc1,"InChI=1S/C9H12O/c1-2-3-8-4-6-9(10)7-5-8/h4-7,10H,2-3H2,1H3",-5.21,2,136.088815
Cc1cccc(C)c1C,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",-1.21,0,120.0939004
CC(=O)C1CCCCC1,"InChI=1S/C8H14O/c1-7(9)8-5-3-2-4-6-8/h8H,2-6H2,1H3",-3.9,1,126.1044651
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],"InChI=1S/C3H6N2O6/c1-3(11-5(8)9)2-10-4(6)7/h3H,2H2,1H3/t3-/m0/s1",-4.95,5,166.0225859
CCCC[C@@H](C)CC,"InChI=1S/C8H18/c1-4-6-7-8(3)5-2/h8H,4-7H2,1-3H3/t8-/m0/s1",2.97,4,114.1408506
CCCCCC(N)=O,"InChI=1S/C6H13NO/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H2,7,8)",-9.31,4,115.099714
Cc1ccc(C=O)cc1,"InChI=1S/C8H8O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H3",-4.27,1,120.0575149
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",-3.25,7,335.1092907
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,"InChI=1S/C14H9NO3/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6,16H,15H2",-9.53,0,239.0582431
Clc1ccccn1,InChI=1S/C5H4ClN/c6-5-3-1-2-4-7-5/h1-4H,-4.39,0,113.0032268
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1",-10.21,3,230.0942943
CC(C)(C)Br,"InChI=1S/C4H9Br/c1-4(2,3)5/h1-3H3",0.84,0,135.9887624
CCCCCCCC=O,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",-2.29,6,128.1201151
FC(F)(F)c1ccccc1C(F)(F)F,"InChI=1S/C8H4F6/c9-7(10,11)5-3-1-2-4-6(5)8(12,13)14/h1-4H",1.07,0,214.0217194
CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",-4.57,3,88.088815
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3/t8-,9+,10-/m1/s1",-3.2,1,156.1514153
CCOC=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",-2.56,2,74.03677943
CC(C)(C)c1ccc(O)cc1,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",-5.91,0,150.1044651
CCCCCC(=O)OCC,"InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3",-2.23,5,144.1150298
CCCN,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",-4.39,1,59.07349929
CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",-6.46,1,74.03677943
CCc1ccccc1O,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3",-5.66,1,122.0731649
Cn1cccc1,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",-2.89,0,81.05784922
C1CCOCC1,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,-3.12,0,86.07316494
CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,-3.8,0,58.04186481
CCCCl,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",-0.33,1,78.0236279
CCC[C@@H](O)CC,"InChI=1S/C6H14O/c1-3-5-6(7)4-2/h6-7H,3-5H2,1-2H3/t6-/m0/s1",-4.06,3,102.1044651
C=CCCCCCCC,"InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3",2.06,6,126.1408506
CCCCCCCO,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-4.21,5,116.1201151
C=CCl,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2",-0.59,0,61.99232778
CC1CCCC1,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",1.59,0,84.09390038
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",-6.74,7,291.0330302
C=CCCCC,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",1.58,3,84.09390038
CCCOC(C)=O,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",-2.79,2,102.0680796
C=CCC,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",1.38,1,56.06260026
CC(=O)OCC(C)C,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",-2.36,2,116.0837296
Cc1cc(O)ccc1Cl,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",-6.79,0,142.0185425
Oc1ccc(Cl)cc1,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",-7.03,0,128.0028925
ClCCCCCl,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,-2.32,3,126.0003056
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,InChI=1S/C12H6Cl4/c13-7-3-1-4-8(14)11(7)12-9(15)5-2-6-10(12)16/h1-6H,-2.28,1,289.9223609
O=Cc1ccccc1O,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",-4.68,1,122.0367794
CCCOCCC,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",-1.16,4,102.1044651
c1ccsc1,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,-1.4,0,84.00337113
CCOCCO,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",-6.69,3,90.06807956
COc1ccc(C(C)=O)cc1,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3",-4.4,2,150.0680796
COc1ccc(C(=O)N(C)C)cc1,"InChI=1S/C10H13NO2/c1-11(2)10(12)8-4-6-9(13-3)7-5-8/h4-7H,1-3H3",-11.01,2,179.0946287
C#CCC,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",-0.16,0,54.04695019
COC(OC)(OC)C(F)(F)F,"InChI=1S/C5H9F3O3/c1-9-5(10-2,11-3)4(6,7)8/h1-3H3",-0.8,3,174.0503788
CCCCC#N,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",-3.52,2,83.07349929
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,"InChI=1S/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3",-7.19,5,263.0017301
CCCOCCO,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",-6.4,4,104.0837296
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,InChI=1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-11(17)8(15)4-9(16)12(10)18/h1-4H,-4.38,1,357.8444162
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)/t10-/m0/s1",-8.42,3,244.0899579
COc1ccccc1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",-5.94,1,124.0524295
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3/b12-8+",-7.07,7,357.9695286
[O-][S+2]1([O-])CCCC1,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,-8.61,0,120.0245005
Nc1cccc([N+](=O)[O-])c1,"InChI=1S/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2",-8.84,1,138.0429274
O=[N+]([O-])c1ccc(O)cc1,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",-10.64,1,139.026943
N#Cc1cccnc1,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",-6.75,0,104.0374481
CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",-3.41,2,86.07316494
Brc1ccccc1,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,-1.46,0,155.9574623
CCCS,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",-1.1,1,76.03467126
CC(CCO[N+](=O)[O-])O[N+](=O)[O-],"InChI=1S/C4H8N2O6/c1-4(12-6(9)10)2-3-11-5(7)8/h4H,2-3H2,1H3",-4.29,6,180.038236
CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",-3.03,3,86.07316494
COS(=O)(=O)OC,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3",-5.1,2,125.9986797
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,"InChI=1S/C9H13ClN2O2/c1-5-6(10)7(13)12(8(14)11-5)9(2,3)4/h1-4H3,(H,11,14)",-11.14,0,216.0665553
CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",-0.19,0,131.9300331
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,InChI=1S/C12H5Cl5/c13-6-4-9(16)12(10(17)5-6)11-7(14)2-1-3-8(11)15/h1-5H,-1.96,1,323.8833886
C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,-3.47,0,72.05751488
FC(F)(F)F,"InChI=1S/CF4/c2-1(3,4)5",3.12,0,87.99361288
COc1ccccc1OC,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",-5.33,2,138.0680796
O=C1CCCC1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,-4.7,0,84.05751488
Cc1ccc(C(C)C)cc1,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",-0.68,1,134.1095504
Cc1cnccn1,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",-5.51,0,94.05309819
CCCBr,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",-0.56,1,121.9731123
CC(C)Cc1ccccc1,"InChI=1S/C10H14/c1-9(2)8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",0.16,2,134.1095504
COC(C)=O,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,-3.13,0,74.03677943
CCc1cnccn1,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",-5.45,1,108.0687483
Cc1cccc(C)n1,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",-4.59,0,107.0734993
FC(F)(F)CCl,"InChI=1S/C2H2ClF3/c3-1-2(4,5)6/h1H2",0.06,0,117.9797124
C#CCCCCC,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3",0.6,3,96.09390038
CCCCCC(=O)OC,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3",-2.49,4,130.0993797
O=Cc1ccccc1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,-4.02,1,106.0418648
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,InChI=1S/C12H3Cl7/c13-6-1-4(2-7(14)10(6)17)5-3-8(15)11(18)12(19)9(5)16/h1-3H,-3.17,1,391.8054439
O=[N+]([O-])c1ccccc1O,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",-4.58,1,139.026943
CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",2.48,3,86.10955045
NC(=O)c1ccccc1,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",-11,1,121.0527638
C/C=C/C=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+",-4.22,1,70.04186481
CC(F)F,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",-0.11,0,66.02810657
CCc1ccccc1C,"InChI=1S/C9H12/c1-3-9-7-5-4-6-8(9)2/h4-7H,3H2,1-2H3",-0.85,1,120.0939004
Cc1ccccc1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",-5.9,0,108.0575149
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"InChI=1S/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3",-6.1,12,383.9876164
CCCc1ccc(O)c(OC)c1,"InChI=1S/C10H14O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h5-7,11H,3-4H2,1-2H3",-5.26,3,166.0993797
CN(C)CCC=C1c2ccccc2CCc2ccccc21,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",-7.43,3,277.1830497
COC(=O)C1CC1,"InChI=1S/C5H8O2/c1-7-5(6)4-2-3-4/h4H,2-3H2,1H3",-4.1,1,100.0524295
CNC(=O)Oc1cccc2ccccc12,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",-9.45,1,201.0789786
CCSCC,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",-1.46,2,90.05032132
CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",-4.07,2,73.08914935
CC1=CC(=O)[C@H](C(C)C)CC1,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9H,4-5H2,1-3H3/t9-/m0/s1",-4.51,1,152.1201151
CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",-3.18,2,72.05751488
Fc1ccccc1,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,-0.8,0,96.03752838
CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",-0.84,0,97.96900549
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C12H2Cl8/c13-4-2-6(15)9(17)11(19)7(4)3-1-5(14)10(18)12(20)8(3)16/h1-2H,-4.61,1,425.7664715
COc1cccc(N)c1,"InChI=1S/C7H9NO/c1-9-7-4-2-3-6(8)5-7/h2-5H,8H2,1H3",-7.29,1,123.0684139
CC(C)=CCC/C(C)=C/CO,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",-4.45,4,154.1357652
CCC(C)CC,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",2.51,2,86.10955045
CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",-6.21,4,116.0837296
CC(=O)c1cccnc1,"InChI=1S/C7H7NO/c1-6(9)7-3-2-4-8-5-7/h2-5H,1H3",-8.26,1,121.0527638
CC(C)(C)Cl,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3",1.09,0,92.03927797
COC(=O)C(F)(F)F,"InChI=1S/C3H3F3O2/c1-8-2(7)3(4,5)6/h1H3",-1.1,0,128.008514
CCCCCCCC(C)=O,"InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3",-2.49,6,142.1357652
CCC[N+](=O)[O-],"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",-3.34,2,89.04767846
CCCCC(=O)OC,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",-2.56,3,116.0837296
Nc1ccc([N+](=O)[O-])cc1,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2",-9.82,1,138.0429274
CCCCI,"InChI=1S/C4H9I/c1-2-3-4-5/h2-4H2,1H3",-0.25,2,183.9748983
C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",-5.03,1,58.04186481
CCc1cccc(O)c1,"InChI=1S/C8H10O/c1-2-7-4-3-5-8(9)6-7/h3-6,9H,2H2,1H3",-6.25,1,122.0731649
ICI,InChI=1S/CH2I2/c2-1-3/h1H2,-2.49,0,267.8245961
CCOCCOCC,"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3",-3.54,5,118.0993797
ClCCOCCCl,InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2,-4.23,4,141.9952202
CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,"InChI=1S/C9H10N2O3/c1-10(2)9(12)7-3-5-8(6-4-7)11(13)14/h3-6H,1-2H3",-11.95,2,194.0691422
Cn1ccnc1,"InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3",-8.41,0,82.05309819
CCCC#N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",-3.64,1,69.05784922
