SMILES,InChI,logS,source
O=C(C(C2OC1CC2)C1C(O)=O)O,"InChI=1S/C8H10O5/c9-7(10)5-3-1-2-4(13-3)6(5)8(11)12/h3-6H,1-2H2,(H,9,10)(H,11,12)",-0.27,adme
CC(O)CCC,"InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",-0.29,adme
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,"InChI=1S/C9H14O6/c1-8(2,6(12)13)9(3,7(14)15)4-5(10)11/h4H2,1-3H3,(H,10,11)(H,12,13)(H,14,15)",-0.29,adme
ClCCC#N,InChI=1S/C3H4ClN/c4-2-1-3-5/h1-2H2,-0.29,adme
Oc1c(CO)cccc1,"InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2",-0.29,adme
NC(OCC(C)C)=O,"InChI=1S/C5H11NO2/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3,(H2,6,7)",-0.3,adme
NC(=NC(#N))N,"InChI=1S/C2H4N4/c3-1-6-2(4)5/h(H4,4,5,6)",-0.31,adme
CC(CC)(O)CC,"InChI=1S/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3",-0.38,adme
Nc1ccc(N)cc1,"InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2",-0.38,adme
COCCC,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",-0.39,adme
OCC(C)C(C)C,"InChI=1S/C6H14O/c1-5(2)6(3)4-7/h5-7H,4H2,1-3H3",-0.39,adme
OCc1ccccc1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",-0.4,adme
OC(C(N)CCSC)=O,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",-0.42,adme
Nc(cccc1)c1N,"InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2",-0.42,adme
OC(C(C)NC)c1ccccc1,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3",-0.42,adme
OC1CCCCC1,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",-0.44,adme
CC(CC1CCCCN1)=O,"InChI=1S/C8H15NO/c1-7(10)6-8-4-2-3-5-9-8/h8-9H,2-6H2,1H3",-0.45,adme
Oc1cccnc1,"InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H",-0.46,adme
O=C(c1cccnc1)OC,"InChI=1S/C7H7NO2/c1-10-7(9)6-3-2-4-8-5-6/h2-5H,1H3",-0.46,adme
Cc1ncnc2c1nccn2,"InChI=1S/C7H6N4/c1-5-6-7(11-4-10-5)9-3-2-8-6/h2-4H,1H3",-0.47,adme
O=COCCC,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3",-0.49,adme
NCCC(C(NC2CC(C(C(C2OC3OC(C(C(C3O)N)O)CO)O)OC1OC(C(C(C1O)O)O)CN)N)=O)O,"InChI=1S/C22H43N5O13/c23-2-1-8(29)20(36)27-7-3-6(25)18(39-22-16(34)15(33)13(31)9(4-24)37-22)17(35)19(7)40-21-14(32)11(26)12(30)10(5-28)38-21/h6-19,21-22,28-35H,1-5,23-26H2,(H,27,36)",-0.5,adme
OCCC(C)(C)C,"InChI=1S/C6H14O/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3",-0.5,adme
n1c(c[nH]c1)CC(N)C(O)=O,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)",-0.53,adme
CCCC(O)C(CC)CO,"InChI=1S/C8H18O2/c1-3-5-8(10)7(4-2)6-9/h7-10H,3-6H2,1-2H3",-0.54,adme
OC(C(N)CCC(N)=O)=O,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)",-0.55,adme
CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",-0.59,adme
O=C1CCCCC1,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,-0.6,adme
CC(OCC(OC(C)=O)COC(C)=O)=O,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3",-0.6,adme
CC(C)(C)C(O)C,"InChI=1S/C6H14O/c1-5(7)6(2,3)4/h5,7H,1-4H3",-0.62,adme
C(Cl)(Cl),InChI=1S/CH2Cl2/c2-1-3/h1H2,-0.63,adme
NC(OCCCC)=O,"InChI=1S/C5H11NO2/c1-2-3-4-8-5(6)7/h2-4H2,1H3,(H2,6,7)",-0.66,adme
CCOCCC,"InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3",-0.66,adme
O=C(CC)OCC,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",-0.66,adme
Oc1cccc(C)c1,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",-0.68,adme
O=CNc1ccccc1,"InChI=1S/C7H7NO/c9-6-8-7-4-2-1-3-5-7/h1-6H,(H,8,9)",-0.68,adme
Oc1ccc(Cl)cc1,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",-0.7,adme
Oc1cccc(Cl)c1,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",-0.7,adme
Oc1ccc(C)cc1,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",-0.7,adme
CC(C)C(O)CC,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3",-0.7,adme
OCCOc1ccccc1,"InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2",-0.71,adme
CC(O)C(C)CC,"InChI=1S/C6H14O/c1-4-5(2)6(3)7/h5-7H,4H2,1-3H3",-0.72,adme
CC(OCCC)=O,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",-0.72,adme
CC(C)(O)C(C)(C)C,"InChI=1S/C7H16O/c1-6(2,3)7(4,5)8/h8H,1-5H3",-0.72,adme
Nc(cccc1)c1O,"InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2",-0.72,adme
O=C(C=C)OCC,"InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3",-0.74,adme
Oc1ccc(N(=O)=O)cc1,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",-0.74,adme
O[NH]c1ccccc1,"InChI=1S/C6H7NO/c8-7-6-4-2-1-3-5-6/h1-5,7-8H",-0.74,adme
NC(CC(N)C(O)=O)=O,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)",-0.74,adme
N#CC(c1ccccc1)OC(C(C(O)C2O)O)OC2COC(C(C(O)C3O)O)OC3CO,"InChI=1S/C20H27NO11/c21-6-10(9-4-2-1-3-5-9)30-20-18(28)16(26)14(24)12(32-20)8-29-19-17(27)15(25)13(23)11(7-22)31-19/h1-5,10-20,22-28H,7-8H2",-0.77,adme
CCOCCOCC,"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3",-0.77,adme
c12ccccc1[nH]nn2,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",-0.78,adme
Nc1ccc(O)cc1,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",-0.8,adme
O=C(NC1=O)N(C=C1)C,"InChI=1S/C5H6N2O2/c1-7-3-2-4(8)6-5(7)9/h2-3H,1H3,(H,6,8,9)",-0.8,adme
OC(CC)CCC,"InChI=1S/C6H14O/c1-3-5-6(7)4-2/h6-7H,3-5H2,1-2H3",-0.8,adme
C=C(C)C(OC)=O,"InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3",-0.8,adme
CC(C)(C)COC(=O)N,"InChI=1S/C6H13NO2/c1-6(2,3)4-9-5(7)8/h4H2,1-3H3,(H2,7,8)",-0.8,adme
O=C(OCC)CC(OCC)=O,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",-0.82,adme
c1ccco1,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H,-0.82,adme
CCCC(OC)=O,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",-0.82,adme
C=CCS(SCC=C)=O,"InChI=1S/C6H10OS2/c1-3-5-8-9(7)6-4-2/h3-4H,1-2,5-6H2",-0.83,adme
C=CC(CCC)=O,"InChI=1S/C6H10O/c1-3-5-6(7)4-2/h4H,2-3,5H2,1H3",-0.83,adme
O=C(O)c1cnccc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",-0.84,adme
CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",-0.85,adme
CN(N=O)C(N)=O,"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",-0.85,adme
CCOC=C,"InChI=1S/C4H8O/c1-3-5-4-2/h3H,1,4H2,2H3",-0.85,adme
Cc1cc(N)ccc1,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3",-0.85,adme
CCC(O)(CC)CC,"InChI=1S/C7H16O/c1-4-7(8,5-2)6-3/h8H,4-6H2,1-3H3",-0.85,adme
OC(C(C(C(CO)O2)O)O)C2Oc1ccccc1CO,"InChI=1S/C13H18O7/c14-5-7-3-1-2-4-8(7)19-13-12(18)11(17)10(16)9(6-15)20-13/h1-4,9-18H,5-6H2",-0.85,adme
O=Cc1c(O)cccc1,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",-0.86,adme
Clc1nc(ncnc2)c2nc1,InChI=1S/C6H3ClN4/c7-5-2-9-4-1-8-3-10-6(4)11-5/h1-3H,-0.87,adme
CC(CC1)CCC1O,"InChI=1S/C7H14O/c1-6-2-4-7(8)5-3-6/h6-8H,2-5H2,1H3",-0.88,adme
CC(C(C(C)=O)CCC)=O,"InChI=1S/C8H14O2/c1-4-5-8(6(2)9)7(3)10/h8H,4-5H2,1-3H3",-0.88,adme
ClCBr,InChI=1S/CH2BrCl/c2-1-3/h1H2,-0.89,adme
OC(Cc1ccccc1)=O,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",-0.89,adme
CC(NC(N)=O)=O,"InChI=1S/C3H6N2O2/c1-2(6)5-3(4)7/h1H3,(H3,4,5,6,7)",-0.9,adme
COc1nc(ncnc2)c2nc1,"InChI=1S/C7H6N4O/c1-12-6-3-9-5-2-8-4-10-7(5)11-6/h2-4H,1H3",-0.91,adme
CC(c1ccccc1)O,"InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3",-0.92,adme
CC(C)(O)CC(C)C,"InChI=1S/C7H16O/c1-6(2)5-7(3,4)8/h6,8H,5H2,1-4H3",-0.92,adme
O=C(CCC(OCC)=O)OCC,"InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3",-0.96,adme
CC=CCC#N,"InChI=1S/C5H7N/c1-2-3-4-5-6/h2-3H,4H2,1H3",-0.96,adme
NC(c1ccccc1)=O,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",-0.96,adme
Oc1ccc(C=O)cc1,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",-0.96,adme
O=C(N(C)c2c1n(C)cn2)N(C)C1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",-0.97,adme
CC(Nc1ccc(N)cc1)=O,"InChI=1S/C8H10N2O/c1-6(11)10-8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",-0.98,adme
O=C(C=C1)C=CC1=O,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,-0.99,adme
CCCCOC,"InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3",-0.99,adme
CI,InChI=1S/CH3I/c1-2/h1H3,-1.0,adme
CCC(C)(O)CCC,"InChI=1S/C7H16O/c1-4-6-7(3,8)5-2/h8H,4-6H2,1-3H3",-1.0,adme
O=C(Nc(cc1)ccc1O)C,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",-1.03,adme
c12ccccc1NCC2,"InChI=1S/C8H9N/c1-2-4-8-7(3-1)5-6-9-8/h1-4,9H,5-6H2",-1.04,adme
O=C(NC=C1F)NC1=O,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-1.07,adme
CC(C)(O)CCCC,"InChI=1S/C7H16O/c1-4-5-6-7(2,3)8/h8H,4-6H2,1-3H3",-1.08,adme
Brc1ccc(O)cc1,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",-1.09,adme
CCBr,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",-1.09,adme
CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",-1.1,adme
O=C(O)COc1ccccc1,"InChI=1S/C8H8O3/c9-8(10)6-11-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",-1.1,adme
COc2ncc1nccnc1n2,"InChI=1S/C7H6N4O/c1-12-7-10-4-5-6(11-7)9-3-2-8-5/h2-4H,1H3",-1.11,adme
COc2c1nccnc1ncn2,"InChI=1S/C7H6N4O/c1-12-7-5-6(10-4-11-7)9-3-2-8-5/h2-4H,1H3",-1.11,adme
NCCc1ccc(O)cc1,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2",-1.12,adme
OC(C(CC(C)CC1C)C1=O)CC(CC2=O)CC(N2)=O,"InChI=1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)",-1.13,adme
CC(C)CCCO,"InChI=1S/C6H14O/c1-6(2)4-3-5-7/h6-7H,3-5H2,1-2H3",-1.14,adme
NC1=NC(NC=C1)=O,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",-1.14,adme
c12c(cccc2)nco1,InChI=1S/C7H5NO/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,-1.16,adme
S(=O)(CCCl)CCCl,InChI=1S/C4H8Cl2OS/c5-1-3-8(7)4-2-6/h1-4H2,-1.16,adme
CCC(CO)CC,"InChI=1S/C6H14O/c1-3-6(4-2)5-7/h6-7H,3-5H2,1-2H3",-1.17,adme
ClC(Cl)(Cl),InChI=1S/CHCl3/c2-1(3)4/h1H,-1.17,adme
Oc1ccc(C)cc1C,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",-1.19,adme
O=C(c1ccccc1),InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,-1.19,adme
OCc1ccc(C)cc1,"InChI=1S/C8H10O/c1-7-2-4-8(6-9)5-3-7/h2-5,9H,6H2,1H3",-1.2,adme
O=C(OC)C(C2C(OC)=O)C1CC2C=C1,"InChI=1S/C11H14O4/c1-14-10(12)8-6-3-4-7(5-6)9(8)11(13)15-2/h3-4,6-9H,5H2,1-2H3",-1.2,adme
O=C(C=C)OCC(C)C,"InChI=1S/C7H12O2/c1-4-7(8)9-5-6(2)3/h4,6H,1,5H2,2-3H3",-1.21,adme
CC(C)(NCC(c1cc(CO)c(O)cc1)O)C,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",-1.22,adme
CC(C)C(O)C(C)C,"InChI=1S/C7H16O/c1-5(2)7(8)6(3)4/h5-8H,1-4H3",-1.22,adme
O=C(O)C(N)Cc1c[nH]c2c1cccc2,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",-1.23,adme
O=S(NC(C)=O)(c1ccc(N)cc1)=O,"InChI=1S/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",-1.23,adme
CC(OCCCC)=O,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",-1.24,adme
