FileHandle,SoluteName,SMILES,InChI,Sol,RB,MW
0068ani,anisole,c1(ccccc1)OC,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",-5.47,1,108.0575149
0110but,butylamine,C(CCN)C,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",-5.33,2,73.08914935
0005npe,n-pentane,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",-2.45,2,72.09390038
0006nhe,n-hexane,C(CCC)CC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",-3.01,3,86.10955045
0018cyc,cyclohexane,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,-3.46,0,84.09390038
0035ben,benzene,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,-3.72,0,78.04695019
0044met,methanol,OC,"InChI=1S/CH4O/c1-2/h2H,1H3",-3.87,0,32.02621475
0047pro,1-propanol,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-5.02,1,60.05751488
0048pro,isopropanol,CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",-4.62,0,60.05751488
0049but,1-butanol,C(CCC)O,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-5.71,2,74.07316494
0050met,t-butanol,OC(C)(C)C,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",-4.78,0,74.07316494
0052pen,1-pentanol,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",-6.4,3,88.088815
0054hex,1-hexanol,C(CCCO)CC,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-7.06,4,102.1044651
0055ocr,o-cresol,c1cccc(c1C)O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",-8.49,0,108.0575149
0057pcr,p-cresol,c1cc(ccc1C)O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",-8.84,0,108.0575149
0058hep,1-heptanol,C(CCCO)CCC,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-7.75,5,116.1201151
0075pro,acetone,O=C(C)C,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,-3.15,0,58.04186481
0078pen,2-pentanone,CCCC(=O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",-4.35,2,86.07316494
0080hex,2-hexanone,C(CC(=O)C)CC,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",-5.02,3,100.088815
0082hep,2-heptanone,CCCCCC(=O)C,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",-5.65,4,114.1044651
0089pen,pentanoicacid,C(CC(=O)O)CC,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",-8.22,3,102.0680796
0090hex,hexanoicacid,C(CC(=O)O)CCC,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",-8.82,4,116.0837296
0093met,methylacetate,CC(=O)OC,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,-3.54,0,74.03677943
0094met,methylpropanoate,CCC(=O)OC,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",-4.06,1,88.0524295
0095eth,ethylacetate,C(=O)(OCC)C,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",-4.06,1,88.0524295
0097pro,propylacetate,C(=O)(C)OCCC,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",-4.55,2,102.0680796
0098met,methylpentanoate,C(CC(=O)OC)CC,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",-5.13,3,116.0837296
0099but,butylacetate,C(=O)(C)OCCCC,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",-4.96,3,116.0837296
0103eth,ethylamine,NCC,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",-4.09,0,45.05784922
0106pro,propylamine,CCCN,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",-4.77,1,59.07349929
0115dip,dipropylamine,N(CCC)CCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",-6.02,4,101.1204495
0121met,4-methylpyridine,c1cc(ccn1)C,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",-6.6,0,93.05784922
0122Nme,N-methylaniline,c1(ccccc1)NC,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",-6.94,1,107.0734993
0134nit,nitrobenzene,c1ccc(cc1)N(=O)=O,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,-6.63,1,123.0320284
0150mhy,m-hydroxybenzaldehyde,c1(cc(ccc1)O)C=O,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",-11.39,1,122.0367794
0151phy,p-hydroxybenzaldehyde,c1(ccc(cc1)O)C=O,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",-12.36,1,122.0367794
0215pbr,p-bromophenol,c1(ccc(cc1)Br)O,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",-10.59,0,171.9523769
0217wat,water,O,InChI=1S/H2O/h1H2,-4.43,0,18.01056468
0220tri,trimethylphosphate,COP(=O)(OC)OC,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",-7.81,3,140.0238454
0221tri,triethylphosphate,P(=O)(OCC)(OCC)OCC,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",-8.88,6,182.0707956
0222tri,tripropylphosphate,P(=O)(OCCC)(OCCC)OCCC,"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3",-8.65,9,224.1177458
0225pipa,piperidine,N1CCCCC1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",-6.27,0,85.08914935
0229hyd,hydrazine,NN,InChI=1S/H4N2/c1-2/h1-2H2,-3.44,0,32.03744813
0236oct,1-octanol,C(CCCCCC)CO,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",-8.13,6,130.1357652
0240met,methylbenzoate,c1cccc(c1)C(=O)OC,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",-7.26,1,136.0524295
0401amia,"1,1-dimethyl-3-phenylurea",c1ccc(cc1)NC(=O)N(C)C,"InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)",-13.12,1,164.094963
0433pho,"2,2-dichloroethenyldimethylphosphate",C(=C(Cl)Cl)OP(=O)(OC)OC,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",-8.59,4,219.9459007
0441pho,dimethyl4-nitrophenylthiophosphate,COP(OC)(Oc1ccc(cc1)N(=O)=O)[S],"InChI=1S/C8H11NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6,15H,1-2H3",-11.7,5,264.0095551
0447pho,diethyl4-nitrophenylthiophosphonate,C(C)OP(OCC)(Oc1ccc(cc1)N(=O)=O)[S],"InChI=1S/C10H15NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8,17H,3-4H2,1-2H3",-11.31,7,292.0408552
n008,benzamide,c1cccc(c1)C(=O)N,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",-11.77,1,121.0527638
n009,2-methylaniline,c1cccc(c1N)C,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",-7.36,0,107.0734993
n010,3-methylaniline,c1ccc(cc1N)C,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3",-7.57,0,107.0734993
n011,4-methylaniline,c1cc(ccc1N)C,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",-7.44,0,107.0734993
0129ben,benzonitrile,c1(ccccc1)C#N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,-6.09,0,103.0421992
0069met,formaldehyde,O=C,InChI=1S/CH2O/c1-2/h1H2,-3.23,0,30.01056468
0186bro,bromobenzene,c1(ccccc1)Br,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,-5.46,0,155.9574623
0180bro,bromoethane,BrCC,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",-2.9,0,107.9574623
0179tri,bromoform,C(Br)(Br)Br,InChI=1S/CHBr3/c2-1(3)4/h1H,-5.62,0,249.7628363
0037eth,ethylbenzene,c1(ccccc1)CC,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",-5.08,1,106.0782503
0046eth,"1,2-ethanediol",C(O)CO,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",-7.44,1,62.03677943
n191,uracil,c1(=O)cc[nH]c(=O)[nH]1,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",-15.13,0,112.0272774
0648gbu,g-butyrolactone,O=C1CCCO1,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,-6.83,0,86.03677943
0081dim,"3,3-dimethylbutanone",C(C)(C(=O)C)(C)C,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",-4.53,0,100.088815
0131nit,1-nitropropane,N(=O)(=O)CCC,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",-4.44,2,89.04767846
0024met,2-methylpropene,C(=C)(C)C,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",-2.03,0,56.06260026
0025buta,1-butene,C(=C)CC,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",-1.89,1,56.06260026
0038oxy,o-xylene,c1(ccccc1C)C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",-5.07,0,106.0782503
0039mxy,m-xylene,c1c(cccc1C)C,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",-5.25,0,106.0782503
0074ben,benzaldehyde,c1(ccccc1)C=O,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,-6.13,1,106.0418648
0077cyc,cyclopentanone,C1(=O)CCCC1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,-5.01,0,84.05751488
0135met,2-methyl-1-nitrobenzene,c1(ccccc1C)N(=O)=O,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",-6.8,1,137.0476785
0144thi,thioanisole,c1(ccccc1)SC,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",-6.47,1,124.0346713
0157flu,fluorobenzene,c1(ccccc1)F,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,-3.87,0,96.03752838
0174chl,chlorobenzene,c1(ccccc1)Cl,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,-5,0,112.0079778
0176pdi,"1,4-dichlorobenzene",c1(ccc(cc1)Cl)Cl,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,-5.67,0,145.9690055
test4001,iodobenzene,c1ccc(cc1)I,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,-6.18,0,203.9435982
0063die,diethylether,O(CC)CC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",-2.89,2,74.07316494
0117met,2-methylpyrazine,c1(nccnc1)C,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",-5.87,0,94.05309819
0120met,3-methylpyridine,c1(cccnc1)C,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",-6.4,0,93.05784922
0139thi,thiophenol,c1(ccccc1)S,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",-5.99,0,110.0190212
0142die,diethylsulfide,S(CC)CC,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",-4.09,2,90.05032132
0145pro,allylalcohol,C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",-5.27,1,58.04186481
0149mor,morpholine,O1CCNCC1,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",-5.99,0,87.06841391
0162tri,chloroform,C(Cl)(Cl)Cl,InChI=1S/CHCl3/c2-1(3)4/h1H,-3.81,0,117.9143831
0207tri,"2,2,2-trifluoroethanol",OCC(F)(F)F,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",-4.81,0,100.0135994
0230eth,2-ethylpyrazine,c1(nccnc1)CC,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",-6.4,1,108.0687483
0244tet,tetrahydropyran,C1CCOCC1,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,-4.21,0,86.07316494
0245thi,thiophene,s1cccc1,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,-3.89,0,84.00337113
0246eth,ethylphenylether,c1ccc(cc1)OCC,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",-5.65,2,122.0731649
0402adn,9-methyladenine,[C]1(c2c([N]C=N1)n(cn2)C)N,"InChI=1S/C6H7N5/c1-11-3-10-4-5(7)8-2-9-6(4)11/h2-3H,1H3,(H2,7,8,9)",-13.56,0,149.0701452
0421dfl,difluorodichloromethane,C(F)(F)(Cl)Cl,"InChI=1S/CCl2F2/c2-1(3,4)5",-1.25,0,119.9345118
0422ftc,fluorotrichloromethane,C(Cl)(Cl)(Cl)F,"InChI=1S/CCl3F/c2-1(3,4)5",-2.63,0,135.9049613
0519dim,"N,N-dimethylacetamide",N(C(=O)C)(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,-7.48,0,87.06841391
0579pyy,pyrrole,[nH]1cccc1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,-5.28,0,67.04219916
0582qui,quinoline,c12ccccc1cccn2,InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,-8.43,0,129.0578492
n007,urea,C(=O)(N)N,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",-10.93,0,60.03236275
n186,N-methyl-2-pyrrolidinone,O=C1N(C)CCC1,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",-8.63,0,99.06841391
n200,5-fluorouracil,c1(c[nH]c(=O)[nH]c1=O)F,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-15.71,0,130.0178556
n203,5-bromouracil,[nH]1c(=O)[nH]c(=O)c(c1)Br,"InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-17.88,0,189.9377894
0003pro,n-propane,CCC,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",-1.26,0,44.06260026
0004nbu,n-butane,C(CC)C,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",-1.86,1,58.07825032
0079pen,3-pentanone,CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",-4.36,2,86.07316494
0138pro,1-propanethiol,CCCS,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",-3.52,1,76.03467126
0165tri,"1,1,1-trichloroethane",ClC(C)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",-3.69,0,131.9300331
0173tri,trichloroethene,C(=CCl)(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,-3.75,0,129.9143831
0515dim,"N,N-dimethylformamide",C(=O)N(C)C,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",-6.14,1,73.05276384
0059dec,1-decanol,CCCCCCCCCCO,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",-9.88,8,158.1670653
0071proa,propanal,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",-4.13,1,58.04186481
n127,formamide,NC=O,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",-7.8,0,45.02146372
test4003,iodomethane,CI,InChI=1S/CH3I/c1-2/h1H3,-3.07,0,141.9279481
0007nhe,n-heptane,CCCCCCC,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",-3.74,4,100.1252005
0040pxy,p-xylene,c1(ccc(cc1)C)C,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",-5.19,0,106.0782503
0042ant,anthracene,c1c2c(cc3c1cccc3)cccc2,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.47,0,178.0782503
0175odi,"1,2-dichlorobenzene",c1(c(cccc1)Cl)Cl,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-6.01,0,145.9690055
0187dib,p-dibromobenzene,c1(ccc(cc1)Br)Br,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,-7.47,0,233.8679743
0239oct,2-octanone,C(CC(=O)C)CCCC,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",-6.38,5,128.1201151
0414dcl,"2,2'-dichlorobiphenyl",Clc1ccccc1c1ccccc1Cl,InChI=1S/C12H8Cl2/c13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14/h1-8H,-9.41,1,222.0003056
0001met,methane,C,InChI=1S/CH4/h1H4,0.51,0,16.03130013
0002eth,ethane,CC,InChI=1S/C2H6/c1-2/h1-2H3,-0.64,0,30.04695019
0010met,2-methylpropane,CC(C)C,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",-1.45,0,58.07825032
0011dim,"2,2-dimethylpropane",C(C)(C)(C)C,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",-1.74,0,72.09390038
0016cyc,cyclopropane,C1CC1,InChI=1S/C3H6/c1-2-3-1/h1-3H2,-1.6,0,42.04695019
0017cyc,cyclopentane,C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,-2.65,0,70.07825032
0019met,methylcyclohexane,C1(CCCCC1)C,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",-3.21,0,98.10955045
0021eth,ethene,C=C,InChI=1S/C2H4/c1-2/h1-2H2,-0.27,0,28.03130013
0022pro,propene,C=CC,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",-1.14,0,42.04695019
0023str,"s-trans-1,3-butadiene",C(=C)C=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",-2.1,1,54.04695019
0029hex,1-hexene,C=CCCCC,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",-2.94,3,84.09390038
0030eth,ethyne,C#C,InChI=1S/C2H2/c1-2/h1-2H,-0.51,0,26.01565006
0031pro,propyne,C#CC,"InChI=1S/C3H4/c1-3-2/h1H,2H3",-1.59,0,40.03130013
0033pen,1-pentyne,C(CC)C#C,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",-2.79,1,68.06260026
0034hex,1-hexyne,C#CCCCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",-3.43,2,82.07825032
0060dim,dimethylether,O(C)C,InChI=1S/C2H6O/c1-3-2/h1-2H3,-2.06,0,46.04186481
0061tet,tetrahydrofuran,C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,-3.93,0,72.05751488
0066dim,"1,2-dimethoxyethane",C(COC)OC,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",-4.55,3,90.06807956
0072but,butanal,C(CC)C=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",-4.62,2,72.05751488
0091met,methylformate,O=COC,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",-2.82,1,60.02112937
0096met,methylbutanoate,C(CC(=O)OC)C,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",-4.59,2,102.0680796
0127pro,propionitrile,C(#N)CC,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",-3.66,0,55.04219916
0128butb,butanonitrile,C(#N)CCC,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",-4.25,1,69.05784922
0130nit,nitroethane,N(=O)(=O)CC,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",-3.93,1,75.0320284
0132nit,2-nitropropane,N(=O)(=O)C(C)C,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",-4.23,1,89.04767846
0133nit,1-nitrobutane,C(CCN(=O)=O)C,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3",-5.11,3,103.0633285
0141dim,dimethyldisulfide,S(SC)C,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,-4.24,1,93.99109219
0161dic,dichloromethane,ClCCl,InChI=1S/CH2Cl2/c2-1-3/h1H2,-3.07,0,83.95335542
0163chl,chloroethane,ClCC,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",-2.58,0,64.00797784
0166tri,"1,1,2-trichloroethane",C(CCl)(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",-4.53,1,131.9300331
0167chla,1-chloropropane,C(CC)Cl,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",-3.06,1,78.0236279
0168chl,2-chloropropane,CC(C)Cl,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",-2.84,0,78.0236279
0171Zdi,"Z-1,2-dichloroethene",C(=C\Cl)\Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,-3.71,0,95.95335542
0172Edi,"E-1,2-dichloroethene",C(=C\Cl)/Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,-3.61,0,95.95335542
0178dib,dibromomethane,BrCBr,InChI=1S/CH2Br2/c2-1-3/h1H2,-4.18,0,171.8523243
0182bro,1-bromopropane,CCCBr,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",-3.42,1,121.9731123
0183bro,2-bromopropane,C(Br)(C)C,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",-3.4,0,121.9731123
0184bro,1-bromobutane,CCCCBr,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",-4.16,2,135.9887624
0185bro,1-bromopentane,C(CCC)CBr,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",-4.68,3,150.0044125
0201bro,"1-bromo-1-chloro-2,2,2-trifluoroethane",C([C@@H](Cl)Br)(F)(F)F,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m1/s1",-3.27,0,195.8902245
0204tet,tetrachloroethene,C(=C(Cl)Cl)(Cl)Cl,InChI=1S/C2Cl4/c3-1(4)2(5)6,-4.24,0,163.8754107
0206tri,"1,1,2-trichloro-1,2,2-trifluoroethane",C(C(Cl)(F)F)(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",-2.54,1,185.9017677
0210dic,"1,1-dichloro-2,2-difluoroethylmethylether",C(C(Cl)Cl)(OC)(F)F,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3",-4.02,2,163.9607265
0400hyd,hydrogen,[H][H],InChI=1S/H2/h1H,1.76,0,2.015650064
0417brp,3-bromopropene,C(C=C)Br,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2",-3.3,1,119.9574623
0419brt,bromotoluene,c1(ccccc1)CBr,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",-6.36,1,169.9731123
