FileHandle,Smiles,SoluteName,Formula,Subset,Charge,Level1,Level2,Level3,Solvent,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,hexadecane,-5.02,abs,2.0402,1.4345,0,0,38.93,0,0,0,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,hexane,-5.46,abs,5.9491,1.4199,0,0.1,37.03,0,0.020449,0.01,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,iodobenzene,-4.72,abs,4.547,1.62,0,0.12,55.72,0.734449,0,0.0144,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,isooctane,-5.44,abs,1.9358,1.3915,0,0,26.38,0,0,0,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,isopropanol,-4.5,abs,19.2645,1.3776,0.33,0.56,30.13,0,0,0.3136,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,mcresol,-4.02,abs,12.44,1.5438,0.57,0.34,51.37,0.5625,0,0.1156,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,methoxyethanol,-3.71,abs,17.2,1.4024,0.3,0.84,44.39,0,0,0.7056,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,methylenechloride,-5.18,abs,8.93,1.4242,0.1,0.05,39.15,0,0.444889,0.0025,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,methylformamide,-3.34,abs,37.219,1.4305,0,0.74,49.56,0,0,0.5476,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,nitroethane,-3.89,abs,28.2896,1.3917,0.02,0.33,46.25,0,0,0.1089,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,nitromethane,-3.15,abs,36.5623,1.3817,0.06,0.31,52.58,0,0,0.0961,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,octane,-5.28,abs,5.0244,1.4524,0,0.12,41.28,0,0.0121,0.0144,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,octanol,-4.18,abs,9.8629,1.4295,0.37,0.48,39.01,0,0,0.2304,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,phenylether,-4.38,abs,3.73,1.5787,0,0.2,38.5,0.851929,0,0.04,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,propanol,-4.39,abs,19.2645,1.3776,0.33,0.56,30.13,0,0,0.3136,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,pyridine,-4.5,abs,9.9533,1.4957,0,0.58,47.5,0.509796,0,0.3364,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,tetrahydrofuran,-5.39,abs,7.4257,1.405,0,0.48,39.44,0,0,0.2304,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,tetrahydrothiophenedioxide,-2.44,abs,43.9622,1.4833,0,0.88,87.49,0,0,0.7744,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,toluene,-5.38,abs,2.2322,1.4909,0,0.19,38.34,0.36,0,0.0361,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,triethylamine,-5.62,abs,2.3832,1.401,0,0.79,29.1,0,0,0.6241,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[a],0,2,1,1,water,2.89,abs,78.36,1.3328,0.82,0.35,103.62,0,0,0.1225,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,xylene,-5.29,abs,2.3879,1.4995,0,0.16,41.38,0.5625,0,0.0256,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,2methylpyridine,-5.06,abs,9.9533,1.4957,0,0.58,47.5,0.509796,0,0.3364,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,aceticacid,-4.53,abs,6.2528,1.372,0.61,0.44,39.01,0,0,0.1936,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,acetonitrile,-4.68,abs,35.6881,1.3442,0.07,0.32,41.25,0,0,0.1024,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,acetophenone,-4.9,abs,17.44,1.5372,0,0.48,56.19,0.444889,0,0.2304,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,aniline,-4.57,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0,0.1681,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,anisole,-4.95,abs,4.2247,1.5174,0,0.29,50.52,0.5625,0,0.0841,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,benzene,-5.32,abs,2.2706,1.5011,0,0.14,40.62,1,0,0.0196,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,benzonitrile,-4.95,abs,25.592,1.5289,0,0.33,55.83,0.5625,0,0.1089,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,benzylalcohol,-4.46,abs,12.4569,1.5396,0.33,0.56,52.96,0.5625,0,0.3136,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,bromobenzene,-5.13,abs,5.3954,1.5597,0,0.09,50.72,0.734449,0.020449,0.0081,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,bromoethane,-5.55,abs,9.01,1.4239,0,0.12,34,0,0.110889,0.0144,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,butanol,-4.5,abs,17.3323,1.3993,0.37,0.48,35.88,0,0,0.2304,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,butanone,-5.06,abs,18.2457,1.3788,0,0.51,34.5,0,0,0.2601,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,carbondisulfide,-5.39,abs,2.6105,1.6319,0,0.07,45.45,0,0,0.0049,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,carbontet,-5.12,abs,2.228,1.4601,0,0,38.04,0,0.64,0,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,chlorobenzene,-5.18,abs,5.6968,1.5241,0,0.07,47.48,0.734449,0.020449,0.0049,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,chloroform,-5.48,abs,4.7113,1.4459,0.15,0.02,38.39,0,0.5625,0.0004,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,cyclohexane,-4.9,abs,2.0165,1.4266,0,0,35.48,0,0,0,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,cyclohexanone,-5.05,abs,15.6186,1.4507,0,0.56,49.76,0,0,0.3136,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,decalin,-4.37,abs,2.196,1.4528,0,0,43.82,0,0,0,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,decane,-4.65,abs,1.9846,1.4102,0,0,33.64,0,0,0,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,dibutylether,-4.87,abs,3.0473,1.3992,0,0.45,35.98,0,0,0.2025,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,diethylether,-5.23,abs,4.24,1.3526,0,0.41,23.96,0,0,0.1681,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,diisopropylether,-4.91,abs,3.38,1.3679,0,0.41,24.86,0,0,0.1681,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,dimethylacetamide,-4.94,abs,37.7807,1.438,0,0.78,47.62,0,0,0.6084,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,dimethylformamide,-4.88,abs,37.219,1.4305,0,0.74,49.56,0,0,0.5476,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,dimethylpyridine,-5.03,abs,7.1735,1.4953,0,0.63,44.64,0.390625,0,0.3969,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
0036tol,c1cc(ccc1)C,toluene,H8C7,[g],0,2,1,6,dimethylsulfoxide,-4.42,abs,46.826,1.417,0,0.88,61.78,0,0,0.7744,98.561,67.889,66.586,87.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.45
