FileHandle,SoluteName,SMILES,Sol,Mol,InChI,RB,MW
0107tri,trimethylamine,N(C)(C)C,-3.23,<rdkit.Chem.rdchem.Mol object at 0x1a18df2620>,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,0,59.073499287999994
0111die,diethylamine,N(CC)CC,-4.07,<rdkit.Chem.rdchem.Mol object at 0x1a18df2670>,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",2,73.08914935199999
0116pyr,pyridine,c1ccncc1,-4.7,<rdkit.Chem.rdchem.Mol object at 0x1a18df26c0>,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,0,79.04219916
0118ani,aniline,c1(ccccc1)N,-5.49,<rdkit.Chem.rdchem.Mol object at 0x1a18df2710>,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",0,93.057849224
0216amm,ammonia,N,-4.29,<rdkit.Chem.rdchem.Mol object at 0x1a18df2760>,InChI=1S/H3N/h1H3,0,17.026549096
0228met,methylamine,NC,-4.56,<rdkit.Chem.rdchem.Mol object at 0x1a18df27b0>,"InChI=1S/CH5N/c1-2/h2H2,1H3",0,31.042199159999996
0506nit,nitromethane,CN(=O)=O,-3.95,<rdkit.Chem.rdchem.Mol object at 0x1a18df2800>,InChI=1S/CH3NO2/c1-2(3)4/h1H3,0,61.016378336
0126eth,acetonitrile,C(#N)C,-3.89,<rdkit.Chem.rdchem.Mol object at 0x1a18df2850>,InChI=1S/C2H3N/c1-2-3/h1H3,0,41.026549096
0084met,acetophenone,c1c(cccc1)C(=O)C,-4.58,<rdkit.Chem.rdchem.Mol object at 0x1a18df28a0>,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",1,120.057514876
n017,hydrogenperoxide,OO,-8.58,<rdkit.Chem.rdchem.Mol object at 0x1a18df28f0>,InChI=1S/H2O2/c1-2/h1-2H,0,34.005479304
0068ani,anisole,c1(ccccc1)OC,-2.45,<rdkit.Chem.rdchem.Mol object at 0x1a18df2940>,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",1,108.057514876
0110but,butylamine,C(CCN)C,-4.29,<rdkit.Chem.rdchem.Mol object at 0x1a18df2990>,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",2,73.08914935199999
0005npe,n-pentane,CCCCC,2.33,<rdkit.Chem.rdchem.Mol object at 0x1a18df29e0>,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",2,72.093900384
0006nhe,n-hexane,C(CCC)CC,2.49,<rdkit.Chem.rdchem.Mol object at 0x1a18df2a30>,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",3,86.109550448
0018cyc,cyclohexane,C1CCCCC1,1.23,<rdkit.Chem.rdchem.Mol object at 0x1a18df2a80>,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,0,84.093900384
0035ben,benzene,c1ccccc1,-0.87,<rdkit.Chem.rdchem.Mol object at 0x1a18df2ad0>,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,0,78.046950192
0044met,methanol,OC,-5.11,<rdkit.Chem.rdchem.Mol object at 0x1a18df2b20>,"InChI=1S/CH4O/c1-2/h2H,1H3",0,32.026214748
0047pro,1-propanol,CCCO,-4.83,<rdkit.Chem.rdchem.Mol object at 0x1a18df2b70>,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1,60.057514876
0048pro,isopropanol,CC(C)O,-4.76,<rdkit.Chem.rdchem.Mol object at 0x1a18df2bc0>,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",0,60.057514876
0049but,1-butanol,C(CCC)O,-4.72,<rdkit.Chem.rdchem.Mol object at 0x1a18df2c10>,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",2,74.07316494
0050met,t-butanol,OC(C)(C)C,-4.51,<rdkit.Chem.rdchem.Mol object at 0x1a18df2c60>,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",0,74.07316494
0052pen,1-pentanol,CCCCCO,-4.47,<rdkit.Chem.rdchem.Mol object at 0x1a18df2cb0>,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",3,88.088815004
0054hex,1-hexanol,C(CCCO)CC,-4.36,<rdkit.Chem.rdchem.Mol object at 0x1a18df2d00>,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",4,102.104465068
0055ocr,o-cresol,c1cccc(c1C)O,-5.87,<rdkit.Chem.rdchem.Mol object at 0x1a18df2d50>,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",0,108.057514876
0057pcr,p-cresol,c1cc(ccc1C)O,-6.14,<rdkit.Chem.rdchem.Mol object at 0x1a18df2da0>,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",0,108.057514876
0058hep,1-heptanol,C(CCCO)CCC,-4.24,<rdkit.Chem.rdchem.Mol object at 0x1a18df2df0>,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",5,116.120115132
0075pro,acetone,O=C(C)C,-3.85,<rdkit.Chem.rdchem.Mol object at 0x1a18df2e40>,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0,58.041864812
0078pen,2-pentanone,CCCC(=O)C,-3.53,<rdkit.Chem.rdchem.Mol object at 0x1a18df2e90>,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",2,86.07316494
0080hex,2-hexanone,C(CC(=O)C)CC,-3.29,<rdkit.Chem.rdchem.Mol object at 0x1a18df2ee0>,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",3,100.088815004
0082hep,2-heptanone,CCCCCC(=O)C,-3.04,<rdkit.Chem.rdchem.Mol object at 0x1a18df2f30>,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",4,114.104465068
0089pen,pentanoicacid,C(CC(=O)O)CC,-6.16,<rdkit.Chem.rdchem.Mol object at 0x1a18df2f80>,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",3,102.06807956
0090hex,hexanoicacid,C(CC(=O)O)CCC,-6.21,<rdkit.Chem.rdchem.Mol object at 0x1a18dec030>,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",4,116.083729624
0093met,methylacetate,CC(=O)OC,-3.32,<rdkit.Chem.rdchem.Mol object at 0x1a18dec080>,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,0,74.036779432
0094met,methylpropanoate,CCC(=O)OC,-2.93,<rdkit.Chem.rdchem.Mol object at 0x1a18dec0d0>,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",1,88.052429496
0095eth,ethylacetate,C(=O)(OCC)C,-3.1,<rdkit.Chem.rdchem.Mol object at 0x1a18dec120>,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",1,88.052429496
0097pro,propylacetate,C(=O)(C)OCCC,-2.86,<rdkit.Chem.rdchem.Mol object at 0x1a18dec170>,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",2,102.06807956
0098met,methylpentanoate,C(CC(=O)OC)CC,-2.57,<rdkit.Chem.rdchem.Mol object at 0x1a18dec1c0>,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",3,116.083729624
0099but,butylacetate,C(=O)(C)OCCCC,-2.55,<rdkit.Chem.rdchem.Mol object at 0x1a18dec210>,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",3,116.083729624
0100met,methylhexanoate,C(CC(=O)OC)CCC,-2.49,<rdkit.Chem.rdchem.Mol object at 0x1a18dec260>,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3",4,130.099379688
0101pen,pentylacetate,C(=O)(C)OCCCCC,-2.45,<rdkit.Chem.rdchem.Mol object at 0x1a18dec2b0>,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",4,130.099379688
0103eth,ethylamine,NCC,-4.5,<rdkit.Chem.rdchem.Mol object at 0x1a18dec300>,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",0,45.057849223999995
0104dim,dimethylamine,N(C)C,-4.29,<rdkit.Chem.rdchem.Mol object at 0x1a18dec350>,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",0,45.057849223999995
0106pro,propylamine,CCCN,-4.39,<rdkit.Chem.rdchem.Mol object at 0x1a18dec3a0>,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",1,59.073499287999994
0115dip,dipropylamine,N(CCC)CCC,-3.66,<rdkit.Chem.rdchem.Mol object at 0x1a18dec3f0>,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",4,101.12044947999999
0121met,4-methylpyridine,c1cc(ccn1)C,-4.94,<rdkit.Chem.rdchem.Mol object at 0x1a18dec440>,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",0,93.057849224
0122Nme,N-methylaniline,c1(ccccc1)NC,-4.68,<rdkit.Chem.rdchem.Mol object at 0x1a18dec490>,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",1,107.073499288
0125dim,"2,6-dimethylpyridine",c1(cccc(C)n1)C,-4.6,<rdkit.Chem.rdchem.Mol object at 0x1a18dec4e0>,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",0,107.073499288
0134nit,nitrobenzene,c1ccc(cc1)N(=O)=O,-4.12,<rdkit.Chem.rdchem.Mol object at 0x1a18dec530>,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,1,123.0320284
0150mhy,m-hydroxybenzaldehyde,c1(cc(ccc1)O)C=O,-9.51,<rdkit.Chem.rdchem.Mol object at 0x1a18dec580>,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",1,122.036779432
0151phy,p-hydroxybenzaldehyde,c1(ccc(cc1)O)C=O,-10.48,<rdkit.Chem.rdchem.Mol object at 0x1a18dec5d0>,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",1,122.036779432
0215pbr,p-bromophenol,c1(ccc(cc1)Br)O,-7.13,<rdkit.Chem.rdchem.Mol object at 0x1a18dec620>,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",0,171.95237688
0217wat,water,O,-6.31,<rdkit.Chem.rdchem.Mol object at 0x1a18dec670>,InChI=1S/H2O/h1H2,0,18.010564684
0220tri,trimethylphosphate,COP(=O)(OC)OC,-8.7,<rdkit.Chem.rdchem.Mol object at 0x1a18dec6c0>,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",3,140.02384539800002
0221tri,triethylphosphate,P(=O)(OCC)(OCC)OCC,-7.8,<rdkit.Chem.rdchem.Mol object at 0x1a18dec710>,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",6,182.07079559
0222tri,tripropylphosphate,P(=O)(OCCC)(OCCC)OCCC,-6.1,<rdkit.Chem.rdchem.Mol object at 0x1a18dec760>,"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3",9,224.117745782
0225pipa,piperidine,N1CCCCC1,-5.11,<rdkit.Chem.rdchem.Mol object at 0x1a18dec7b0>,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",0,85.08914935199999
0229hyd,hydrazine,NN,-6.26,<rdkit.Chem.rdchem.Mol object at 0x1a18dec800>,InChI=1S/H4N2/c1-2/h1-2H2,0,32.037448128
0236oct,1-octanol,C(CCCCCC)CO,-4.09,<rdkit.Chem.rdchem.Mol object at 0x1a18dec850>,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",6,130.135765196
0240met,methylbenzoate,c1cccc(c1)C(=O)OC,-3.91,<rdkit.Chem.rdchem.Mol object at 0x1a18dec8a0>,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",1,136.052429496
0401amia,"1,1-dimethyl-3-phenylurea",c1ccc(cc1)NC(=O)N(C)C,-9.63,<rdkit.Chem.rdchem.Mol object at 0x1a18dec8f0>,"InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)",1,164.094963004
0433pho,"2,2-dichloroethenyldimethylphosphate",C(=C(Cl)Cl)OP(=O)(OC)OC,-6.61,<rdkit.Chem.rdchem.Mol object at 0x1a18dec940>,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",4,219.945900694
0441pho,dimethyl4-nitrophenylthiophosphate,COP(OC)(Oc1ccc(cc1)N(=O)=O)[S],-7.62,<rdkit.Chem.rdchem.Mol object at 0x1a18dec990>,"InChI=1S/C8H11NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6,15H,1-2H3",5,264.009555082
0447pho,diethyl4-nitrophenylthiophosphonate,C(C)OP(OCC)(Oc1ccc(cc1)N(=O)=O)[S],-6.27,<rdkit.Chem.rdchem.Mol object at 0x1a18dec9e0>,"InChI=1S/C10H15NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8,17H,3-4H2,1-2H3",7,292.04085521
0571dim,"3,5-dimethylpyridine",c1(cncc(c1)C)C,-4.84,<rdkit.Chem.rdchem.Mol object at 0x1a18deca30>,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3",0,107.073499288
n008,benzamide,c1cccc(c1)C(=O)N,-10.9,<rdkit.Chem.rdchem.Mol object at 0x1a18deca80>,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",1,121.052763844
n009,2-methylaniline,c1cccc(c1N)C,-5.56,<rdkit.Chem.rdchem.Mol object at 0x1a18decad0>,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",0,107.073499288
n010,3-methylaniline,c1ccc(cc1N)C,-5.67,<rdkit.Chem.rdchem.Mol object at 0x1a18decb20>,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3",0,107.073499288
n011,4-methylaniline,c1cc(ccc1N)C,-5.55,<rdkit.Chem.rdchem.Mol object at 0x1a18decb70>,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",0,107.073499288
0129ben,benzonitrile,c1(ccccc1)C#N,-4.1,<rdkit.Chem.rdchem.Mol object at 0x1a18decbc0>,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,0,103.04219916
0186bro,bromobenzene,c1(ccccc1)Br,-1.46,<rdkit.Chem.rdchem.Mol object at 0x1a18decc10>,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,0,155.95746226
0180bro,bromoethane,BrCC,-0.7,<rdkit.Chem.rdchem.Mol object at 0x1a18decc60>,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",0,107.95746226
0179tri,bromoform,C(Br)(Br)Br,-1.98,<rdkit.Chem.rdchem.Mol object at 0x1a18deccb0>,InChI=1S/CHBr3/c2-1(3)4/h1H,0,249.762836332
0037eth,ethylbenzene,c1(ccccc1)CC,-0.8,<rdkit.Chem.rdchem.Mol object at 0x1a18decd00>,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",1,106.07825032
0046eth,"1,2-ethanediol",C(O)CO,-9.3,<rdkit.Chem.rdchem.Mol object at 0x1a18decd50>,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",1,62.036779432
n191,uracil,c1(=O)cc[nH]c(=O)[nH]1,-16.59,<rdkit.Chem.rdchem.Mol object at 0x1a18decda0>,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",0,112.027277368
0081dim,"3,3-dimethylbutanone",C(C)(C(=O)C)(C)C,-2.89,<rdkit.Chem.rdchem.Mol object at 0x1a18decdf0>,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",0,100.088815004
0131nit,1-nitropropane,N(=O)(=O)CCC,-3.34,<rdkit.Chem.rdchem.Mol object at 0x1a18dece40>,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",2,89.047678464
0024met,2-methylpropene,C(=C)(C)C,1.16,<rdkit.Chem.rdchem.Mol object at 0x1a18dece90>,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",0,56.062600255999996
0025buta,1-butene,C(=C)CC,1.38,<rdkit.Chem.rdchem.Mol object at 0x1a18decee0>,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",1,56.062600255999996
0028Epe,E-2-pentene,C/C=C/CC,1.34,<rdkit.Chem.rdchem.Mol object at 0x1a18decf30>,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+",1,70.07825032
0038oxy,o-xylene,c1(ccccc1C)C,-0.9,<rdkit.Chem.rdchem.Mol object at 0x1a18decf80>,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",0,106.07825032
0039mxy,m-xylene,c1c(cccc1C)C,-0.84,<rdkit.Chem.rdchem.Mol object at 0x1a18df4030>,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",0,106.07825032
0074ben,benzaldehyde,c1(ccccc1)C=O,-4.02,<rdkit.Chem.rdchem.Mol object at 0x1a18df4080>,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,1,106.041864812
0077cyc,cyclopentanone,C1(=O)CCCC1,-4.68,<rdkit.Chem.rdchem.Mol object at 0x1a18df40d0>,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,0,84.057514876
0135met,2-methyl-1-nitrobenzene,c1(ccccc1C)N(=O)=O,-3.59,<rdkit.Chem.rdchem.Mol object at 0x1a18df4120>,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",1,137.047678464
0144thi,thioanisole,c1(ccccc1)SC,-2.73,<rdkit.Chem.rdchem.Mol object at 0x1a18df4170>,"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",1,124.034671256
0157flu,fluorobenzene,c1(ccccc1)F,-0.78,<rdkit.Chem.rdchem.Mol object at 0x1a18df41c0>,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,0,96.03752838
0174chl,chlorobenzene,c1(ccccc1)Cl,-1.12,<rdkit.Chem.rdchem.Mol object at 0x1a18df4210>,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,0,112.00797784
0176pdi,"1,4-dichlorobenzene",c1(ccc(cc1)Cl)Cl,-1.01,<rdkit.Chem.rdchem.Mol object at 0x1a18df4260>,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,0,145.969005488
test4001,iodobenzene,c1ccc(cc1)I,-1.73,<rdkit.Chem.rdchem.Mol object at 0x1a18df42b0>,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,0,203.94359816
0063die,diethylether,O(CC)CC,-1.76,<rdkit.Chem.rdchem.Mol object at 0x1a18df4300>,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",2,74.07316494
0070eth,acetaldehyde,CC=O,-3.5,<rdkit.Chem.rdchem.Mol object at 0x1a18df4350>,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",0,44.026214748
0117met,2-methylpyrazine,c1(nccnc1)C,-5.57,<rdkit.Chem.rdchem.Mol object at 0x1a18df43a0>,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",0,94.053098192
0120met,3-methylpyridine,c1(cccnc1)C,-4.77,<rdkit.Chem.rdchem.Mol object at 0x1a18df43f0>,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",0,93.057849224
0139thi,thiophenol,c1(ccccc1)S,-2.55,<rdkit.Chem.rdchem.Mol object at 0x1a18df4440>,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",0,110.019021192
0142die,diethylsulfide,S(CC)CC,-1.43,<rdkit.Chem.rdchem.Mol object at 0x1a18df4490>,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",2,90.05032132
0145pro,allylalcohol,C=CCO,-5.08,<rdkit.Chem.rdchem.Mol object at 0x1a18df44e0>,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",1,58.041864812
0149mor,morpholine,O1CCNCC1,-7.17,<rdkit.Chem.rdchem.Mol object at 0x1a18df4530>,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",0,87.068413908
0162tri,chloroform,C(Cl)(Cl)Cl,-1.07,<rdkit.Chem.rdchem.Mol object at 0x1a18df4580>,InChI=1S/CHCl3/c2-1(3)4/h1H,0,117.91438307199999
0207tri,"2,2,2-trifluoroethanol",OCC(F)(F)F,-4.31,<rdkit.Chem.rdchem.Mol object at 0x1a18df45d0>,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",0,100.013599376
0219hyd,hydrogensulfide,S,-0.7,<rdkit.Chem.rdchem.Mol object at 0x1a18df4620>,InChI=1S/H2S/h1H2,0,33.987721064
0230eth,2-ethylpyrazine,c1(nccnc1)CC,-5.51,<rdkit.Chem.rdchem.Mol object at 0x1a18df4670>,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",1,108.06874825599999
0233ethb,acetamide,C(=O)(N)C,-9.71,<rdkit.Chem.rdchem.Mol object at 0x1a18df46c0>,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",0,59.03711378
0242dii,isopropylether,C(C)(C)OC(C)C,-0.53,<rdkit.Chem.rdchem.Mol object at 0x1a18df4710>,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",2,102.104465068
0244tet,tetrahydropyran,C1CCOCC1,-3.12,<rdkit.Chem.rdchem.Mol object at 0x1a18df4760>,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,0,86.07316494
0245thi,thiophene,s1cccc1,-1.42,<rdkit.Chem.rdchem.Mol object at 0x1a18df47b0>,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,0,84.003371128
0246eth,ethylphenylether,c1ccc(cc1)OCC,-2.22,<rdkit.Chem.rdchem.Mol object at 0x1a18df4800>,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",2,122.07316494
0402adn,9-methyladenine,[C]1(c2c([N]C=N1)n(cn2)C)N,-13.6,<rdkit.Chem.rdchem.Mol object at 0x1a18df4850>,"InChI=1S/C6H7N5/c1-11-3-10-4-5(7)8-2-9-6(4)11/h2-3H,1H3,(H2,7,8,9)",0,149.070145224
0403thi,1-methylthymine,c1(c(=O)[nH]c(=O)n(c1)C)C,-10.4,<rdkit.Chem.rdchem.Mol object at 0x1a18df48a0>,"InChI=1S/C6H8N2O2/c1-4-3-8(2)6(10)7-5(4)9/h3H,1-2H3,(H,7,9,10)",0,140.058577496
0421dfl,difluorodichloromethane,C(F)(F)(Cl)Cl,1.69,<rdkit.Chem.rdchem.Mol object at 0x1a18df48f0>,"InChI=1S/CCl2F2/c2-1(3,4)5",0,119.9345118
0422ftc,fluorotrichloromethane,C(Cl)(Cl)(Cl)F,0.82,<rdkit.Chem.rdchem.Mol object at 0x1a18df4940>,"InChI=1S/CCl3F/c2-1(3,4)5",0,135.90496126
n007,urea,C(=O)(N)N,-13.8,<rdkit.Chem.rdchem.Mol object at 0x1a18df4990>,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",0,60.032362748
n200,5-fluorouracil,c1(c[nH]c(=O)[nH]c1=O)F,-16.92,<rdkit.Chem.rdchem.Mol object at 0x1a18df49e0>,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",0,130.017855556
n203,5-bromouracil,[nH]1c(=O)[nH]c(=O)c(c1)Br,-18.17,<rdkit.Chem.rdchem.Mol object at 0x1a18df4a30>,"InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",0,189.937789436
0003pro,n-propane,CCC,1.96,<rdkit.Chem.rdchem.Mol object at 0x1a18df4a80>,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",0,44.062600255999996
